LOGGING STARTED
robot_main , [BALANCING_ROBOT] 567993617807 | startup
robot_main , [BALANCING_ROBOT] 567993619866 | robot_main
robot_main , [BALANCING_ROBOT] 567993619866 | robot_main
robot_main , [CONTROLLER] 567993657081 | stability_controller | [0.789770964824107,-3.5763524151753185,70.13725440972416]
robot_main , [CONTROLLER] 567993657081 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993657579 | robot_frequency | [235.8981621850974,94,234.06736151290679]
robot_main , [MAIN_LOOP] 567993657582 | kalman_comparison | [-3.74333911316955,0.3496239073667323]
robot_main , [CONTROLLER] 567993657584 | stability_controller | [0.789770964824107,-3.74333911316955,75.07194691508882]
robot_main , [CONTROLLER] 567993657584 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993658081 | robot_frequency | [237.32886419956654,7,235.5332271629012]
robot_main , [MAIN_LOOP] 567993658084 | kalman_comparison_predict_only | [-3.5964756751092177]
robot_main , [CONTROLLER] 567993658085 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993658086 | stability_controller | [0.789770964824107,-3.5964756751092177,99.37983794463042]
robot_main , [MAIN_LOOP] 567993658585 | robot_frequency | [229.85893035273236,23,236.86093482246176]
robot_main , [MAIN_LOOP] 567993658587 | kalman_comparison_predict_only | [-3.609412377209876]
robot_main , [CONTROLLER] 567993658590 | stability_controller | [0.789770964824107,-3.609412377209876,100.94755030870589]
robot_main , [CONTROLLER] 567993658590 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993659089 | robot_frequency | [234.8765683506037,37,230.57706699916108]
robot_main , [MAIN_LOOP] 567993659092 | kalman_comparison | [-3.748484723700255,0.6874155913451181]
robot_main , [CONTROLLER] 567993659094 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993659094 | stability_controller | [0.789770964824107,-3.748484723700255,75.35648063028282]
robot_main , [MAIN_LOOP] 567993659593 | robot_frequency | [235.72994273174342,52,233.04653984121853]
robot_main , [MAIN_LOOP] 567993659596 | kalman_comparison | [-3.723741727654176,0.5189236213422203]
robot_main , [CONTROLLER] 567993659597 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993659598 | stability_controller | [0.789770964824107,-3.723741727654176,71.62174713970782]
robot_main , [MAIN_LOOP] 567993660094 | robot_frequency | [234.75705412954187,66,233.5273923075765]
robot_main , [MAIN_LOOP] 567993660095 | kalman_comparison | [-3.5808559203030246,0.6517559413015294]
robot_main , [CONTROLLER] 567993660097 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993660099 | stability_controller | [0.789770964824107,-3.5808559203030246,52.68807005534319]
robot_main , [MAIN_LOOP] 567993660596 | robot_frequency | [237.8125138860017,81,232.58289571530517]
robot_main , [MAIN_LOOP] 567993660598 | kalman_comparison | [-3.6261455570574905,0.8747042447602729]
robot_main , [CONTROLLER] 567993660599 | stability_controller | [0.789770964824107,-3.6261455570574905,64.93425615715418]
robot_main , [CONTROLLER] 567993660599 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993661097 | robot_frequency | [236.51220055128852,96,234.85397033721324]
robot_main , [MAIN_LOOP] 567993661101 | kalman_comparison | [-3.482298790030855,1.4003406145351343]
robot_main , [CONTROLLER] 567993661102 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993661102 | stability_controller | [0.789770964824107,-3.482298790030855,63.815755758651754]
robot_main , [MAIN_LOOP] 567993661598 | robot_frequency | [238.78175775625496,11,237.7720820317571]
robot_main , [MAIN_LOOP] 567993661601 | kalman_comparison | [-3.7378561398491126,0.6228730830387249]
robot_main , [CONTROLLER] 567993661603 | stability_controller | [0.789770964824107,-3.7378561398491126,70.66180846102223]
robot_main , [CONTROLLER] 567993661603 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993662102 | robot_frequency | [235.5254017404031,25,232.2470448799625]
robot_main , [MAIN_LOOP] 567993662105 | kalman_comparison | [-3.7959340841825346,-0.08289105607068711]
robot_main , [CONTROLLER] 567993662107 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993662107 | stability_controller | [0.789770964824107,-3.7959340841825346,82.40017242273193]
robot_main , [MAIN_LOOP] 567993662605 | robot_frequency | [239.2874377790953,40,232.4537083479297]
robot_main , [MAIN_LOOP] 567993662608 | kalman_comparison | [-3.692302155506113,1.1567872016859957]
robot_main , [CONTROLLER] 567993662610 | stability_controller | [0.789770964824107,-3.692302155506113,65.05877859416488]
robot_main , [CONTROLLER] 567993662610 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993663106 | robot_frequency | [235.25951384119665,54,234.6828266048946]
robot_main , [MAIN_LOOP] 567993663107 | kalman_comparison | [-3.554821794950048,1.329623050785806]
robot_main , [CONTROLLER] 567993663109 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993663111 | stability_controller | [0.789770964824107,-3.554821794950048,46.04060266716996]
robot_main , [MAIN_LOOP] 567993663610 | robot_frequency | [231.24367286855934,68,235.16413046040722]
robot_main , [MAIN_LOOP] 567993663612 | kalman_comparison | [-3.5184824333715374,1.5167225456102096]
robot_main , [CONTROLLER] 567993663613 | stability_controller | [0.789770964824107,-3.5184824333715374,48.005649377071165]
robot_main , [CONTROLLER] 567993663613 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993664113 | robot_frequency | [235.4686067401519,83,230.3073394272863]
robot_main , [MAIN_LOOP] 567993664114 | kalman_comparison | [-3.5636668475241726,0.6320055282365316]
robot_main , [CONTROLLER] 567993664115 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993664118 | stability_controller | [0.789770964824107,-3.5636668475241726,39.713429142680305]
robot_main , [MAIN_LOOP] 567993664616 | robot_frequency | [237.56941838589788,99,233.4559016826466]
robot_main , [MAIN_LOOP] 567993664618 | kalman_comparison_predict_only | [-3.5108699969067008]
robot_main , [CONTROLLER] 567993664621 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993664621 | stability_controller | [0.789770964824107,-3.5108699969067008,99.24436533349294]
robot_main , [MAIN_LOOP] 567993665065 | new_sonar_measure | [robot_main,1.0414]
robot_main , [MAIN_LOOP] 567993665119 | robot_frequency | [227.20941857459414,12,234.08362249701844]
robot_main , [MAIN_LOOP] 567993665123 | kalman_comparison | [-3.68965939587721,0.6263551450956969]
robot_main , [CONTROLLER] 567993665125 | speed_controller | [-3.974290039062499,0.0,1.0771745927734373]
robot_main , [CONTROLLER] 567993665125 | stability_controller | [1.0771745927734373,-3.68965939587721,80.9088392557299]
robot_main , [MAIN_LOOP] 567993665623 | robot_frequency | [234.4856003370905,26,231.17497616185716]
robot_main , [MAIN_LOOP] 567993665626 | kalman_comparison | [-4.024502062031019,-0.21199269819255342]
robot_main , [CONTROLLER] 567993665628 | stability_controller | [1.3632291552734377,-4.024502062031019,99.51130258931074]
robot_main , [CONTROLLER] 567993665628 | speed_controller | [-8.003227539062504,0.0,1.3632291552734377]
robot_main , [MAIN_LOOP] 567993666065 | new_sonar_measure | [robot_main,1.0414]
robot_main , [MAIN_LOOP] 567993666126 | robot_frequency | [236.11834539560664,42,236.12719152387123]
robot_main , [MAIN_LOOP] 567993666129 | kalman_comparison_predict_only | [-3.818174964493317]
robot_main , [CONTROLLER] 567993666131 | speed_controller | [-12.027126953125004,0.0,1.648926013671875]
robot_main , [CONTROLLER] 567993666131 | stability_controller | [1.648926013671875,-3.818174964493317,117.90025573047258]
robot_main , [MAIN_LOOP] 567993666630 | robot_frequency | [239.19495509299696,59,235.26356719311372]
robot_main , [MAIN_LOOP] 567993666632 | kalman_comparison | [-3.817152924387588,0.7165199682453318]
robot_main , [CONTROLLER] 567993666633 | speed_controller | [-16.061502929687506,0.0,1.9353667080078127]
robot_main , [CONTROLLER] 567993666633 | stability_controller | [1.9353667080078127,-3.817152924387588,67.57401107021809]
robot_main , [MAIN_LOOP] 567993667069 | new_sonar_measure | [robot_main,1.0414]
robot_main , [MAIN_LOOP] 567993667134 | robot_frequency | [232.00021074444714,73,236.61749941288855]
robot_main , [MAIN_LOOP] 567993667136 | kalman_comparison | [-3.7373098628556365,0.7851699279808344]
robot_main , [CONTROLLER] 567993667137 | speed_controller | [-20.0,0.0,2.215]
robot_main , [CONTROLLER] 567993667137 | stability_controller | [2.215,-3.7373098628556365,73.06239672053917]
robot_main , [MAIN_LOOP] 567993668064 | new_sonar_measure | [robot_main,1.0414]
robot_main , [MAIN_LOOP] 567993668139 | robot_frequency | [242.13927273429223,3,234.86450638504505]
robot_main , [MAIN_LOOP] 567993668143 | kalman_comparison_predict_only | [-3.7407599065985604]
robot_main , [CONTROLLER] 567993668144 | speed_controller | [-20.0,0.0,2.215]
robot_main , [CONTROLLER] 567993668145 | stability_controller | [2.215,-3.7407599065985604,124.85898367193896]
robot_main , [MAIN_LOOP] 567993668639 | robot_frequency | [236.29144523291845,18,234.96785923034489]
robot_main , [MAIN_LOOP] 567993668643 | kalman_comparison_predict_only | [-3.8258658303840423]
robot_main , [CONTROLLER] 567993668644 | stability_controller | [2.215,-3.8258658303840423,125.0939724929432]
robot_main , [CONTROLLER] 567993668644 | speed_controller | [-20.0,0.0,2.215]
robot_main , [MAIN_LOOP] 567993669070 | new_sonar_measure | [robot_main,1.0414]
robot_main , [MAIN_LOOP] 567993669143 | robot_frequency | [227.7596527306578,32,235.02969553552506]
robot_main , [MAIN_LOOP] 567993669146 | kalman_comparison | [-3.720307286596894,0.5146727871175676]
robot_main , [CONTROLLER] 567993669149 | speed_controller | [-20.0,0.0,2.215]
robot_main , [CONTROLLER] 567993669149 | stability_controller | [2.215,-3.720307286596894,99.23698499596769]
robot_main , [MAIN_LOOP] 567993669645 | robot_frequency | [233.59575964590562,47,233.71133455918073]
robot_main , [MAIN_LOOP] 567993669646 | kalman_comparison | [-3.756100152812382,0.6152089020846068]
robot_main , [CONTROLLER] 567993669648 | stability_controller | [2.129755555664062,-3.756100152812382,70.12715361814197]
robot_main , [CONTROLLER] 567993669648 | speed_controller | [-18.799374023437498,0.0,2.129755555664062]
robot_main , [MAIN_LOOP] 567993670146 | robot_frequency | [232.47917957517916,61,233.58271666016705]
robot_main , [MAIN_LOOP] 567993670148 | kalman_comparison | [-3.8173427799861894,0.3418347341266892]
robot_main , [CONTROLLER] 567993670151 | stability_controller | [1.8650975781249994,-3.8173427799861894,92.84336857502504]
robot_main , [CONTROLLER] 567993670151 | speed_controller | [-15.071796874999995,0.0,1.8650975781249994]
robot_main , [MAIN_LOOP] 567993670650 | robot_frequency | [239.30834015427348,78,232.39084067813423]
robot_main , [MAIN_LOOP] 567993670651 | kalman_comparison | [-3.8026734026675926,0.7162949116074612]
robot_main , [CONTROLLER] 567993670652 | speed_controller | [-16.955452148437498,0.0,1.998837102539062]
robot_main , [CONTROLLER] 567993670655 | stability_controller | [1.998837102539062,-3.8026734026675926,80.13166893117747]
robot_main , [MAIN_LOOP] 567993671069 | new_sonar_measure | [robot_main,1.0236]
robot_main , [MAIN_LOOP] 567993671153 | robot_frequency | [236.8630774888392,93,237.18982142228194]
robot_main , [MAIN_LOOP] 567993671157 | kalman_comparison | [-3.8285992943568385,0.4750844629528033]
robot_main , [CONTROLLER] 567993671158 | speed_controller | [-20.0,0.0,2.215]
robot_main , [CONTROLLER] 567993671158 | stability_controller | [2.215,-3.8285992943568385,97.10624363068564]
robot_main , [MAIN_LOOP] 567993671658 | kalman_comparison | [-3.7786928111557336,0.8285927555224075]
robot_main , [CONTROLLER] 567993671659 | speed_controller | [-20.0,0.0,2.215]
robot_main , [CONTROLLER] 567993671660 | stability_controller | [2.215,-3.7786928111557336,64.45653248177935]
robot_main , [MAIN_LOOP] 567993672067 | new_sonar_measure | [robot_main,1.0361]
robot_main , [MAIN_LOOP] 567993672161 | robot_frequency | [225.61039455259822,23,234.478565486985]
robot_main , [MAIN_LOOP] 567993672163 | kalman_comparison | [-3.7475311057446214,0.9041779942859536]
robot_main , [CONTROLLER] 567993672166 | speed_controller | [-20.0,0.0,2.215]
robot_main , [CONTROLLER] 567993672167 | stability_controller | [2.215,-3.7475311057446214,90.74068776554844]
robot_main , [MAIN_LOOP] 567993672663 | robot_frequency | [236.33462157238247,39,233.40251873162953]
robot_main , [MAIN_LOOP] 567993672667 | kalman_comparison_predict_only | [-3.8577861919194105]
robot_main , [CONTROLLER] 567993672668 | stability_controller | [1.973799618164061,-3.8577861919194105,119.5549332070695]
robot_main , [CONTROLLER] 567993672668 | speed_controller | [-16.60281152343748,0.0,1.973799618164061]
robot_main , [MAIN_LOOP] 567993673167 | robot_frequency | [234.31591160299664,54,235.38364686403744]
robot_main , [MAIN_LOOP] 567993673168 | kalman_comparison | [-3.6985796409389278,0.7262709494191252]
robot_main , [CONTROLLER] 567993673170 | speed_controller | [-12.573769531249981,0.0,1.6877376367187487]
robot_main , [CONTROLLER] 567993673170 | stability_controller | [1.6877376367187487,-3.6985796409389278,69.94498105276963]
robot_main , [MAIN_LOOP] 567993673669 | robot_frequency | [236.8833387705246,70,234.29808285259355]
robot_main , [MAIN_LOOP] 567993673671 | kalman_comparison | [-3.715168183382867,0.5255355415981792]
robot_main , [CONTROLLER] 567993673674 | speed_controller | [-8.555964843749978,0.0,1.4024735039062484]
robot_main , [CONTROLLER] 567993673675 | stability_controller | [1.4024735039062484,-3.715168183382867,72.65642355685767]
robot_main , [MAIN_LOOP] 567993674170 | robot_frequency | [235.84593745906486,85,235.36756038254373]
robot_main , [MAIN_LOOP] 567993674174 | kalman_comparison_predict_only | [-3.624440345085344]
robot_main , [CONTROLLER] 567993674175 | speed_controller | [-4.547962890624977,0.0,1.1179053652343733]
robot_main , [CONTROLLER] 567993674175 | stability_controller | [1.1179053652343733,-3.624440345085344,102.6484649440761]
robot_main , [MAIN_LOOP] 567993674674 | robot_frequency | [228.10046221529208,1,238.7818415911635]
robot_main , [MAIN_LOOP] 567993674678 | kalman_comparison_predict_only | [-3.6897341122843055]
robot_main , [CONTROLLER] 567993674679 | speed_controller | [-0.5178505859374792,0.0,0.831767391601561]
robot_main , [CONTROLLER] 567993674679 | stability_controller | [0.831767391601561,-3.6897341122843055,98.74080435637903]
robot_main , [MAIN_LOOP] 567993675177 | robot_frequency | [243.2127731317601,17,234.57067543429767]
robot_main , [MAIN_LOOP] 567993675178 | kalman_comparison | [-3.836662660851774,0.583821552245332]
robot_main , [CONTROLLER] 567993675180 | speed_controller | [3.5064296875000203,0.0,0.5048434414565245]
robot_main , [CONTROLLER] 567993675182 | stability_controller | [0.5048434414565245,-3.836662660851774,36.8673629568655]
robot_main , [MAIN_LOOP] 567993676067 | new_sonar_measure | [robot_main,1.022]
robot_main , [MAIN_LOOP] 567993676180 | robot_frequency | [231.43616466558794,47,237.40428940168582]
robot_main , [MAIN_LOOP] 567993676181 | kalman_comparison_predict_only | [-4.123633620286106]
robot_main , [CONTROLLER] 567993676184 | speed_controller | [4.437962890625016,0.0,0.12201720034427449]
robot_main , [CONTROLLER] 567993676185 | stability_controller | [0.12201720034427449,-4.123633620286106,94.69437820101942]
robot_main , [MAIN_LOOP] 567993676683 | robot_frequency | [237.91253024445646,63,231.9393697707483]
robot_main , [MAIN_LOOP] 567993676686 | kalman_comparison | [-3.480301896763335,1.4508995901663235]
robot_main , [CONTROLLER] 567993676687 | speed_controller | [0.4124150390625159,0.0,0.3440453877933339]
robot_main , [CONTROLLER] 567993676688 | stability_controller | [0.3440453877933339,-3.480301896763335,58.91130187358473]
robot_main , [MAIN_LOOP] 567993677065 | new_sonar_measure | [robot_main,1.0356]
robot_main , [MAIN_LOOP] 567993677184 | robot_frequency | [237.4682832795332,78,235.47308946928845]
robot_main , [MAIN_LOOP] 567993677187 | kalman_comparison | [-3.8069711387299434,0.021611533335957816]
robot_main , [CONTROLLER] 567993677189 | stability_controller | [0.671797218713728,-3.8069711387299434,80.37296195901547]
robot_main , [CONTROLLER] 567993677189 | speed_controller | [-3.5964150390624847,0.0,0.671797218713728]
robot_main , [MAIN_LOOP] 567993677686 | robot_frequency | [235.8224999609237,93,235.99023068253854]
robot_main , [MAIN_LOOP] 567993677687 | kalman_comparison | [-3.616512613304274,0.7595790903075572]
robot_main , [CONTROLLER] 567993677688 | speed_controller | [-3.394517578124987,0.0,0.7766654493041149]
robot_main , [CONTROLLER] 567993677689 | stability_controller | [0.7766654493041149,-3.616512613304274,43.539080376667066]
robot_main , [MAIN_LOOP] 567993678188 | robot_frequency | [241.88950831591083,8,237.0066482583187]
robot_main , [MAIN_LOOP] 567993678191 | kalman_comparison_predict_only | [-3.1756374039372184]
robot_main , [CONTROLLER] 567993678192 | stability_controller | [0.8017107586616237,-3.1756374039372184,84.05264771456261]
robot_main , [CONTROLLER] 567993678192 | speed_controller | [-2.6298730468749856,0.0,0.8017107586616237]
robot_main , [MAIN_LOOP] 567993679190 | robot_frequency | [237.18586566932964,39,235.77686593905275]
robot_main , [MAIN_LOOP] 567993679193 | kalman_comparison_predict_only | [-3.1934060163319073]
robot_main , [CONTROLLER] 567993679195 | stability_controller | [1.2836548652343738,-3.1934060163319073,100.1851042653298]
robot_main , [CONTROLLER] 567993679195 | speed_controller | [-6.882462890624986,0.0,1.2836548652343738]
robot_main , [MAIN_LOOP] 567993679695 | robot_frequency | [236.52956921127446,55,235.52252638680548]
robot_main , [MAIN_LOOP] 567993679697 | kalman_comparison | [-3.1500731164483287,0.993344057968653]
robot_main , [CONTROLLER] 567993679698 | speed_controller | [-2.839759765624981,0.0,0.9966229433593736]
robot_main , [CONTROLLER] 567993679699 | stability_controller | [0.9966229433593736,-3.1500731164483287,52.78200013760088]
robot_main , [MAIN_LOOP] 567993680199 | robot_frequency | [236.54521926026882,71,234.36459667493685]
robot_main , [MAIN_LOOP] 567993680201 | kalman_comparison | [-3.18935665565739,1.235035105574261]
robot_main , [CONTROLLER] 567993680204 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993680205 | stability_controller | [0.7949999999999999,-3.18935665565739,51.013542047313024]
robot_main , [MAIN_LOOP] 567993680701 | robot_frequency | [234.76210952544832,85,234.0654332829685]
robot_main , [MAIN_LOOP] 567993680702 | kalman_comparison | [-3.0222047951194586,1.177144885982063]
robot_main , [CONTROLLER] 567993680703 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993680706 | stability_controller | [0.7949999999999999,-3.0222047951194586,40.708498476341674]
robot_main , [MAIN_LOOP] 567993681201 | robot_frequency | [237.07882641952477,99,231.3535231239024]
robot_main , [MAIN_LOOP] 567993681202 | kalman_comparison | [-2.938602885284938,0.8760250119907755]
robot_main , [CONTROLLER] 567993681204 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993681204 | stability_controller | [0.7949999999999999,-2.938602885284938,51.63958155232479]
robot_main , [MAIN_LOOP] 567993681704 | robot_frequency | [231.10691747138955,14,236.4663356239262]
robot_main , [MAIN_LOOP] 567993681706 | kalman_comparison | [-2.713468312214738,2.1288271096115787]
robot_main , [CONTROLLER] 567993681707 | stability_controller | [0.7949999999999999,-2.713468312214738,61.176031581405475]
robot_main , [CONTROLLER] 567993681707 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993682209 | robot_frequency | [238.329247006294,31,234.57381943108442]
robot_main , [MAIN_LOOP] 567993682210 | kalman_comparison | [-3.06031491797507,1.223006800210503]
robot_main , [CONTROLLER] 567993682212 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993682212 | stability_controller | [0.7949999999999999,-3.06031491797507,42.333026976429124]
robot_main , [MAIN_LOOP] 567993682710 | robot_frequency | [236.49892809732688,47,237.17913412218456]
robot_main , [MAIN_LOOP] 567993682711 | kalman_comparison | [-2.7630568214736075,2.063398349205998]
robot_main , [CONTROLLER] 567993682712 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993682715 | stability_controller | [0.7949999999999999,-2.7630568214736075,20.472390820704064]
robot_main , [MAIN_LOOP] 567993683212 | robot_frequency | [233.1371213267568,61,234.50854919153798]
robot_main , [MAIN_LOOP] 567993683214 | kalman_comparison | [-2.8011431377834795,1.5728536512309783]
robot_main , [CONTROLLER] 567993683217 | stability_controller | [0.7949999999999999,-2.8011431377834795,59.206558893042214]
robot_main , [CONTROLLER] 567993683217 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993683714 | robot_frequency | [238.302724245256,76,230.9240582938065]
robot_main , [MAIN_LOOP] 567993683718 | kalman_comparison | [-2.8675929219506573,1.5266617033811312]
robot_main , [CONTROLLER] 567993683719 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993683720 | stability_controller | [0.7949999999999999,-2.8675929219506573,58.926856191343845]
robot_main , [MAIN_LOOP] 567993684215 | robot_frequency | [232.32470531366505,89,236.21764921584395]
robot_main , [MAIN_LOOP] 567993684218 | kalman_comparison_predict_only | [-2.939500546657007]
robot_main , [CONTROLLER] 567993684220 | stability_controller | [0.7949999999999999,-2.939500546657007,90.53104224199076]
robot_main , [CONTROLLER] 567993684220 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993684716 | robot_frequency | [235.64547727157506,3,235.6353128829626]
robot_main , [MAIN_LOOP] 567993684718 | kalman_comparison | [-3.0230170042121935,1.130643584909303]
robot_main , [MAIN_LOOP] 567993685217 | robot_frequency | [237.54144022175473,18,234.94590356909302]
robot_main , [MAIN_LOOP] 567993685218 | kalman_comparison | [-3.0338625298383843,1.4645582768201744]
robot_main , [CONTROLLER] 567993685219 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993685222 | stability_controller | [0.7949999999999999,-3.0338625298383843,44.67436306018667]
robot_main , [MAIN_LOOP] 567993685718 | robot_frequency | [235.8841152569268,33,234.7954590801471]
robot_main , [MAIN_LOOP] 567993685719 | kalman_comparison | [-3.0378520737820733,1.6211459136534117]
robot_main , [CONTROLLER] 567993685720 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993685723 | stability_controller | [0.7949999999999999,-3.0378520737820733,29.902045640983353]
robot_main , [MAIN_LOOP] 567993686221 | robot_frequency | [239.43471036076514,48,232.44120757307658]
robot_main , [MAIN_LOOP] 567993686222 | kalman_comparison | [-3.102919315396092,1.3282867215580834]
robot_main , [CONTROLLER] 567993686223 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993686226 | stability_controller | [0.7949999999999999,-3.102919315396092,38.261473753413476]
robot_main , [MAIN_LOOP] 567993686722 | robot_frequency | [238.4984810335768,63,234.86445764068412]
robot_main , [MAIN_LOOP] 567993686725 | kalman_comparison | [-3.1640770296525367,1.2228532799428662]
robot_main , [CONTROLLER] 567993686727 | stability_controller | [0.7949999999999999,-3.1640770296525367,65.3405979541138]
robot_main , [CONTROLLER] 567993686727 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993687223 | robot_frequency | [235.33385007785012,77,235.02638150066616]
robot_main , [MAIN_LOOP] 567993687225 | kalman_comparison | [-3.2134374328799717,1.037109955385658]
robot_main , [CONTROLLER] 567993687228 | stability_controller | [0.7949999999999999,-3.2134374328799717,58.28264955565221]
robot_main , [CONTROLLER] 567993687228 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993688227 | robot_frequency | [242.26685510127325,9,239.53903383223496]
robot_main , [MAIN_LOOP] 567993688229 | kalman_comparison | [-3.2714338425619145,0.9146955572910737]
robot_main , [CONTROLLER] 567993688230 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993688230 | stability_controller | [0.7949999999999999,-3.2714338425619145,40.64378951204009]
robot_main , [MAIN_LOOP] 567993688731 | robot_frequency | [235.08238063677837,25,235.58250375166529]
robot_main , [MAIN_LOOP] 567993688734 | kalman_comparison | [-3.0874413350407477,1.255764406783971]
robot_main , [CONTROLLER] 567993688735 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993688736 | stability_controller | [0.7949999999999999,-3.0874413350407477,63.158113290620236]
robot_main , [MAIN_LOOP] 567993689234 | robot_frequency | [240.852710112978,41,233.30109775599382]
robot_main , [MAIN_LOOP] 567993689238 | kalman_comparison | [-3.143188546173868,1.1349565955856176]
robot_main , [CONTROLLER] 567993689239 | stability_controller | [0.7949999999999999,-3.143188546173868,62.05427612386916]
robot_main , [CONTROLLER] 567993689239 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993689738 | robot_frequency | [235.89880170903032,57,237.67059100550057]
robot_main , [MAIN_LOOP] 567993689742 | kalman_comparison | [-3.091422259914725,1.1332464819524442]
robot_main , [CONTROLLER] 567993689743 | stability_controller | [0.7949999999999999,-3.091422259914725,62.905791330846334]
robot_main , [CONTROLLER] 567993689743 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993690242 | robot_frequency | [233.06511352594876,71,233.52945991918696]
robot_main , [MAIN_LOOP] 567993690245 | kalman_comparison_predict_only | [-3.014333649629884]
robot_main , [CONTROLLER] 567993690247 | stability_controller | [0.7949999999999999,-3.014333649629884,89.68034913301494]
robot_main , [CONTROLLER] 567993690247 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993690743 | robot_frequency | [237.33907769006657,86,231.47095268409967]
robot_main , [MAIN_LOOP] 567993690745 | kalman_comparison | [-3.067615933622105,1.2718294429933048]
robot_main , [CONTROLLER] 567993690746 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993690746 | stability_controller | [0.7949999999999999,-3.067615933622105,39.95767003364797]
robot_main , [MAIN_LOOP] 567993691244 | robot_frequency | [235.55697473992302,100,234.7547071570658]
robot_main , [MAIN_LOOP] 567993691247 | kalman_comparison_predict_only | [-3.0713743335961787]
robot_main , [CONTROLLER] 567993691248 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993691249 | stability_controller | [0.7949999999999999,-3.0713743335961787,90.43483234039459]
robot_main , [MAIN_LOOP] 567993692247 | robot_frequency | [238.58639022675382,32,235.22292699584042]
robot_main , [MAIN_LOOP] 567993692250 | kalman_comparison_predict_only | [-3.1174195095814445]
robot_main , [CONTROLLER] 567993692252 | stability_controller | [0.7949999999999999,-3.1174195095814445,92.07389085018812]
robot_main , [CONTROLLER] 567993692252 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993692748 | robot_frequency | [235.72095704682974,46,233.53995322405106]
robot_main , [MAIN_LOOP] 567993692750 | kalman_comparison | [-3.049796317532942,1.1805953699638474]
robot_main , [CONTROLLER] 567993692753 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993692754 | stability_controller | [0.7949999999999999,-3.049796317532942,61.812116096778]
robot_main , [MAIN_LOOP] 567993693250 | robot_frequency | [234.22814354345033,60,233.54242144038892]
robot_main , [MAIN_LOOP] 567993693253 | kalman_comparison_predict_only | [-2.8769803912698024]
robot_main , [CONTROLLER] 567993693255 | stability_controller | [0.7949999999999999,-2.8769803912698024,88.24517838560118]
robot_main , [CONTROLLER] 567993693255 | speed_controller | [0.0,0.0,0.7949999999999999]
