LOGGING STARTED
robot_main , [MAIN_LOOP] 567993632262 | kalman_calibration | [1.1307556023715484,0.0012415835966374752]
robot_main , [CONTROLLER] 567993706602 | stability_controller | [0.8317109374999999,0.9426956439054782,16.491846580951385]
robot_main , [MAIN_LOOP] 567993706626 | new_sonar_measure | [robot_front_right,1.6457]
robot_main , [MAIN_LOOP] 567993706653 | robot_frequency | [213.2305078420539,40,209.63679433706454]
robot_main , [CONTROLLER] 567993706653 | speed_controller | [-24.0,-22.6796875,0.8788398437499999]
robot_main , [CONTROLLER] 567993706653 | stability_controller | [0.8788398437499999,0.9107710971157061,7.560531356800012]
robot_main , [MAIN_LOOP] 567993706689 | new_sonar_measure | [robot_front_left,1.6613999999999998]
robot_main , [MAIN_LOOP] 567993706707 | robot_frequency | [212.4131869549666,51,209.63679433706454]
robot_main , [CONTROLLER] 567993706707 | speed_controller | [-24.0,-21.9375,0.9259687499999999]
robot_main , [CONTROLLER] 567993706707 | stability_controller | [0.9259687499999999,0.9053977807215938,2.8257868395929857]
robot_main , [MAIN_LOOP] 567993706746 | new_sonar_measure | [robot_front_right,1.607]
robot_main , [MAIN_LOOP] 567993706760 | robot_frequency | [211.31411847537254,62,209.63679433706454]
robot_main , [CONTROLLER] 567993706760 | speed_controller | [-24.0,-22.03125,0.9200156249999999]
robot_main , [CONTROLLER] 567993706760 | stability_controller | [0.9200156249999999,0.9284855925311502,1.5204456476549946]
robot_main , [MAIN_LOOP] 567993706770 | new_sonar_measure | [robot_front_left,1.631]
robot_main , [MAIN_LOOP] 567993706812 | robot_frequency | [211.38538519279905,73,209.63679433706454]
robot_main , [CONTROLLER] 567993706812 | speed_controller | [-24.0,-22.859375,0.8674296874999999]
robot_main , [CONTROLLER] 567993706812 | stability_controller | [0.8674296874999999,0.9488792609525052,1.4527900665730573]
robot_main , [MAIN_LOOP] 567993706843 | new_sonar_measure | [robot_front_left,1.6263999999999998]
robot_main , [MAIN_LOOP] 567993706866 | robot_frequency | [210.36210758572682,84,209.63679433706454]
robot_main , [MAIN_LOOP] 567993706867 | new_sonar_measure | [robot_front_right,1.5796000000000001]
robot_main , [CONTROLLER] 567993706866 | speed_controller | [-24.0,-23.3125,0.8386562499999999]
robot_main , [CONTROLLER] 567993706866 | stability_controller | [0.8386562499999999,0.9349456068331171,19.578477238945766]
robot_main , [MAIN_LOOP] 567993706917 | robot_frequency | [210.82791604856877,95,209.63679433706454]
robot_main , [CONTROLLER] 567993706917 | speed_controller | [-24.0,-22.9296875,0.8629648437499999]
robot_main , [CONTROLLER] 567993706917 | stability_controller | [0.8629648437499999,0.9424167341559703,-5.790892768129848]
robot_main , [MAIN_LOOP] 567993706968 | robot_frequency | [215.12232922317452,5,211.04745477854604]
robot_main , [CONTROLLER] 567993706968 | speed_controller | [-24.0,-22.2578125,0.9056289062499999]
robot_main , [CONTROLLER] 567993706968 | stability_controller | [0.9056289062499999,0.9067396689094638,8.212020699747452]
robot_main , [MAIN_LOOP] 567993706995 | new_sonar_measure | [robot_front_right,1.5538999999999998]
robot_main , [MAIN_LOOP] 567993707022 | robot_frequency | [209.78195236556923,16,211.04745477854604]
robot_main , [CONTROLLER] 567993707022 | speed_controller | [-24.0,-22.109375,0.9150546875]
robot_main , [CONTROLLER] 567993707022 | stability_controller | [0.9150546875,0.93793733965009,-7.861325446112492]
robot_main , [MAIN_LOOP] 567993707076 | robot_frequency | [207.41195938666132,27,211.04745477854604]
robot_main , [CONTROLLER] 567993707076 | speed_controller | [-24.0,-22.7265625,0.8758632812499999]
robot_main , [CONTROLLER] 567993707076 | stability_controller | [0.8758632812499999,0.9400360725387837,4.20470134597031]
robot_main , [MAIN_LOOP] 567993707087 | new_sonar_measure | [robot_front_left,1.6040999999999999]
robot_main , [MAIN_LOOP] 567993707116 | new_sonar_measure | [robot_front_right,1.5285]
robot_main , [MAIN_LOOP] 567993707129 | robot_frequency | [208.1308467244311,38,211.04745477854604]
robot_main , [CONTROLLER] 567993707129 | speed_controller | [-24.0,-22.4140625,0.89570703125]
robot_main , [CONTROLLER] 567993707129 | stability_controller | [0.89570703125,0.9261869615089177,3.641551743881037]
robot_main , [MAIN_LOOP] 567993707144 | new_sonar_measure | [robot_front_left,1.5575999999999999]
robot_main , [MAIN_LOOP] 567993707183 | robot_frequency | [207.73523878852305,49,211.04745477854604]
robot_main , [CONTROLLER] 567993707183 | speed_controller | [-24.0,-22.734375,0.8753671875]
robot_main , [CONTROLLER] 567993707183 | stability_controller | [0.8753671875,0.9456439833289849,-7.963226261656078]
robot_main , [MAIN_LOOP] 567993707189 | new_sonar_measure | [robot_front_left,1.5506]
robot_main , [MAIN_LOOP] 567993707217 | new_sonar_measure | [robot_front_right,1.5247]
robot_main , [MAIN_LOOP] 567993707234 | robot_frequency | [208.7546174606762,60,211.04745477854604]
robot_main , [CONTROLLER] 567993707234 | speed_controller | [-24.0,-22.6875,0.87834375]
robot_main , [CONTROLLER] 567993707234 | stability_controller | [0.87834375,0.9219049548762341,5.371702609984035]
robot_main , [MAIN_LOOP] 567993707285 | robot_frequency | [209.90080685003338,71,211.04745477854604]
robot_main , [CONTROLLER] 567993707285 | speed_controller | [-24.0,-22.375,0.8981874999999999]
robot_main , [CONTROLLER] 567993707285 | stability_controller | [0.8981874999999999,0.9283531767965879,-0.27107568734480303]
robot_main , [MAIN_LOOP] 567993707340 | robot_frequency | [209.28250911907014,82,211.04745477854604]
robot_main , [MAIN_LOOP] 567993707341 | new_sonar_measure | [robot_front_right,1.3730000000000002]
robot_main , [CONTROLLER] 567993707340 | speed_controller | [-24.0,-22.2734375,0.90463671875]
robot_main , [CONTROLLER] 567993707340 | stability_controller | [0.90463671875,0.9346612031239068,-11.5438888786262]
robot_main , [MAIN_LOOP] 567993707378 | new_sonar_measure | [robot_front_left,1.528]
robot_main , [MAIN_LOOP] 567993707391 | robot_frequency | [209.65541195879754,93,211.04745477854604]
robot_main , [CONTROLLER] 567993707391 | speed_controller | [-24.0,-22.3203125,0.90166015625]
robot_main , [CONTROLLER] 567993707391 | stability_controller | [0.90166015625,0.9049488479524486,13.326809815106154]
robot_main , [MAIN_LOOP] 567993707430 | new_sonar_measure | [robot_front_right,1.2639]
robot_main , [MAIN_LOOP] 567993707443 | robot_frequency | [201.17104824352973,3,210.00767619358075]
robot_main , [CONTROLLER] 567993707443 | speed_controller | [-24.0,-21.34375,0.963671875]
robot_main , [CONTROLLER] 567993707443 | stability_controller | [0.963671875,0.9004615464290036,-9.252885253836489]
robot_main , [MAIN_LOOP] 567993707472 | new_sonar_measure | [robot_front_left,0.4235]
robot_main , [MAIN_LOOP] 567993707495 | robot_frequency | [210.41528529083098,14,210.00767619358075]
robot_main , [CONTROLLER] 567993707495 | speed_controller | [-23.77123828125,-22.234375,0.8925908183593749]
robot_main , [CONTROLLER] 567993707495 | stability_controller | [0.8925908183593749,0.9478549992313339,-26.374586222471187]
robot_main , [MAIN_LOOP] 567993707520 | new_sonar_measure | [robot_front_left,0.3226]
robot_main , [MAIN_LOOP] 567993707550 | robot_frequency | [208.47440977286772,25,210.00767619358075]
robot_main , [CONTROLLER] 567993707550 | speed_controller | [-23.328466796875002,-23.4453125,0.7875495823291503]
robot_main , [CONTROLLER] 567993707550 | stability_controller | [0.7875495823291503,0.9205835992074388,-10.292384984704071]
robot_main , [MAIN_LOOP] 567993707570 | new_sonar_measure | [robot_front_right,1.1611]
robot_main , [MAIN_LOOP] 567993707600 | new_sonar_measure | [robot_front_left,0.3075]
robot_main , [MAIN_LOOP] 567993707603 | robot_frequency | [207.38315019137391,36,210.00767619358075]
robot_main , [CONTROLLER] 567993707603 | speed_controller | [-23.3767939453125,-23.5859375,0.780658066068934]
robot_main , [CONTROLLER] 567993707603 | stability_controller | [0.780658066068934,0.8611822476607215,18.641637772746623]
robot_main , [MAIN_LOOP] 567993707651 | new_sonar_measure | [robot_front_right,1.0378]
robot_main , [MAIN_LOOP] 567993707654 | robot_frequency | [209.42033902644266,47,210.00767619358075]
robot_main , [CONTROLLER] 567993707654 | speed_controller | [-23.1168046875,-21.7890625,0.8793116289062499]
robot_main , [CONTROLLER] 567993707654 | stability_controller | [0.8793116289062499,0.7982419407224919,34.92304393237235]
robot_main , [MAIN_LOOP] 567993707705 | robot_frequency | [210.83193081931972,58,210.00767619358075]
robot_main , [CONTROLLER] 567993707705 | speed_controller | [-23.522817382812498,-20.703125,0.9740504663085936]
robot_main , [CONTROLLER] 567993707705 | stability_controller | [0.9740504663085936,0.8379766273089942,-5.360212606416336]
robot_main , [MAIN_LOOP] 567993707751 | new_sonar_measure | [robot_front_left,0.4347]
robot_main , [MAIN_LOOP] 567993707760 | robot_frequency | [209.97839270943592,69,210.00767619358075]
robot_main , [CONTROLLER] 567993707760 | speed_controller | [-23.7278330078125,-20.3359375,1.0103853647460936]
robot_main , [CONTROLLER] 567993707760 | stability_controller | [1.0103853647460936,0.8772627516407135,-14.062405486170633]
robot_main , [MAIN_LOOP] 567993707780 | new_sonar_measure | [robot_front_right,0.9113]
robot_main , [MAIN_LOOP] 567993707811 | robot_frequency | [210.41872797318538,80,210.00767619358075]
robot_main , [CONTROLLER] 567993707811 | speed_controller | [-23.9108857421875,-21.0625,0.9758724946289061]
robot_main , [CONTROLLER] 567993707811 | stability_controller | [0.9758724946289061,0.925659337709243,-4.706507102881703]
robot_main , [MAIN_LOOP] 567993707862 | robot_frequency | [210.775918917609,91,210.00767619358075]
robot_main , [CONTROLLER] 567993707862 | speed_controller | [-24.0,-22.0859375,0.91654296875]
robot_main , [CONTROLLER] 567993707862 | stability_controller | [0.91654296875,0.9617232864698443,-23.97889294292851]
robot_main , [MAIN_LOOP] 567993707913 | robot_frequency | [217.12165385634776,1,211.35757601012912]
robot_main , [MAIN_LOOP] 567993708120 | robot_frequency | [213.04159938918121,45,211.35757601012912]
robot_main , [CONTROLLER] 567993708120 | speed_controller | [-22.157424804687505,-21.25,0.8526214750976565]
robot_main , [CONTROLLER] 567993708120 | stability_controller | [0.8526214750976565,0.792714497151482,27.361484238675647]
robot_main , [MAIN_LOOP] 567993708171 | robot_frequency | [213.8708973699357,56,211.35757601012912]
robot_main , [CONTROLLER] 567993708171 | speed_controller | [-21.752199218750008,-20.265625,0.8893974628906254]
robot_main , [CONTROLLER] 567993708171 | stability_controller | [0.8893974628906254,0.7904941542003443,4.479165233992745]
robot_main , [MAIN_LOOP] 567993708222 | robot_frequency | [214.08830507279586,67,211.35757601012912]
robot_main , [CONTROLLER] 567993708222 | speed_controller | [-21.343341796875006,-21.453125,0.7879898440919524]
robot_main , [CONTROLLER] 567993708222 | stability_controller | [0.7879898440919524,0.8369077233742803,-23.38311022249908]
robot_main , [MAIN_LOOP] 567993708242 | new_sonar_measure | [robot_front_left,0.8432]
robot_main , [MAIN_LOOP] 567993708275 | robot_frequency | [213.4277484576182,78,211.35757601012912]
robot_main , [CONTROLLER] 567993708275 | speed_controller | [-20.921006835937508,-22.40625,0.6977515029658244]
robot_main , [CONTROLLER] 567993708275 | stability_controller | [0.6977515029658244,0.770875603270694,32.28520380485275]
robot_main , [MAIN_LOOP] 567993708290 | new_sonar_measure | [robot_front_left,1.0549]
robot_main , [MAIN_LOOP] 567993708326 | robot_frequency | [213.63600059401998,89,211.35757601012912]
robot_main , [CONTROLLER] 567993708326 | speed_controller | [-20.512508789062508,-21.015625,0.7573325862450911]
robot_main , [CONTROLLER] 567993708326 | stability_controller | [0.7573325862450911,0.7181171930155409,-5.723911785431473]
robot_main , [MAIN_LOOP] 567993708377 | robot_frequency | [213.94886107663115,100,211.35757601012912]
robot_main , [CONTROLLER] 567993708377 | speed_controller | [-20.105939453125007,-21.046875,0.7279019102715257]
robot_main , [CONTROLLER] 567993708377 | stability_controller | [0.7279019102715257,0.7208410551639203,1.5779658706954738]
robot_main , [MAIN_LOOP] 567993708427 | robot_frequency | [217.08277231560336,10,213.94886107663115]
robot_main , [CONTROLLER] 567993708427 | speed_controller | [-19.7005615234375,-20.84375,0.7121852201763834]
robot_main , [CONTROLLER] 567993708427 | stability_controller | [0.7121852201763834,0.6925678205165876,-2.475096256440992]
robot_main , [MAIN_LOOP] 567993708478 | robot_frequency | [217.10345191961872,21,213.94886107663115]
robot_main , [CONTROLLER] 567993708478 | speed_controller | [-19.294699218749994,-20.40625,0.7107710507918416]
robot_main , [CONTROLLER] 567993708478 | stability_controller | [0.7107710507918416,0.6526642733704212,7.0851627669485255]
robot_main , [MAIN_LOOP] 567993708529 | robot_frequency | [216.98755510485907,32,213.94886107663115]
robot_main , [CONTROLLER] 567993708529 | speed_controller | [-18.8893974609375,-19.5859375,0.7349197044963721]
robot_main , [CONTROLLER] 567993708529 | stability_controller | [0.7349197044963721,0.622599471457585,8.112767102288748]
robot_main , [MAIN_LOOP] 567993708580 | robot_frequency | [216.6435529445191,43,213.94886107663115]
robot_main , [CONTROLLER] 567993708580 | speed_controller | [-18.481077148437496,-19.09375,0.7383734731949629]
robot_main , [CONTROLLER] 567993708580 | stability_controller | [0.7383734731949629,0.5966507283629233,9.133417688942043]
robot_main , [MAIN_LOOP] 567993708631 | robot_frequency | [216.53836767841332,54,213.94886107663115]
robot_main , [CONTROLLER] 567993708631 | speed_controller | [-18.073850585937492,-18.65625,0.7387586580982891]
robot_main , [CONTROLLER] 567993708631 | stability_controller | [0.7387586580982891,0.5974503408064155,-0.47540300029911764]
robot_main , [MAIN_LOOP] 567993708682 | robot_frequency | [216.5393535155017,65,213.94886107663115]
robot_main , [CONTROLLER] 567993708682 | speed_controller | [-17.667398437499994,-18.859375,0.6976434523239533]
robot_main , [CONTROLLER] 567993708682 | stability_controller | [0.6976434523239533,0.5779116854817739,6.5632385927931445]
robot_main , [MAIN_LOOP] 567993708732 | robot_frequency | [216.54601433291745,76,213.94886107663115]
robot_main , [CONTROLLER] 567993708732 | speed_controller | [-17.261160156249996,-18.671875,0.6802677657351515]
robot_main , [CONTROLLER] 567993708732 | stability_controller | [0.6802677657351515,0.5467629800622378,8.578934209283732]
robot_main , [MAIN_LOOP] 567993708783 | robot_frequency | [216.532350262723,87,213.94886107663115]
robot_main , [CONTROLLER] 567993708783 | speed_controller | [-16.854522460937503,-17.96875,0.6955999325738879]
robot_main , [CONTROLLER] 567993708783 | stability_controller | [0.6955999325738879,0.5106128606281364,9.791777397512964]
robot_main , [MAIN_LOOP] 567993708834 | robot_frequency | [216.57299580040927,98,213.94886107663115]
robot_main , [CONTROLLER] 567993708834 | speed_controller | [-16.448513671875,-17.5859375,0.6913872950953084]
robot_main , [CONTROLLER] 567993708834 | stability_controller | [0.6913872950953084,0.5082149602997844,-14.017490678960899]
robot_main , [MAIN_LOOP] 567993708885 | robot_frequency | [217.1528248880979,8,216.58510913912116]
robot_main , [CONTROLLER] 567993708885 | speed_controller | [-16.043398437499995,-18.0390625,0.6326044703556595]
robot_main , [CONTROLLER] 567993708885 | stability_controller | [0.6326044703556595,0.5111026559268745,3.768952496225162]
robot_main , [MAIN_LOOP] 567993708936 | robot_frequency | [216.28182485993904,19,216.58510913912116]
robot_main , [CONTROLLER] 567993708936 | speed_controller | [-15.635222656249997,-16.7890625,0.6812474242665567]
robot_main , [CONTROLLER] 567993708936 | stability_controller | [0.6812474242665567,0.4379932501136922,11.461435320319124]
robot_main , [MAIN_LOOP] 567993708988 | robot_frequency | [214.26639571147584,30,216.58510913912116]
robot_main , [CONTROLLER] 567993708988 | speed_controller | [-15.213793945312498,-14.453125,0.8032914762072748]
robot_main , [CONTROLLER] 567993708988 | stability_controller | [0.8032914762072748,0.4408913548203802,12.317518760404518]
robot_main , [MAIN_LOOP] 567993709039 | robot_frequency | [214.89952397359585,41,216.58510913912116]
robot_main , [CONTROLLER] 567993709039 | speed_controller | [-14.807599609374998,-14.61328125,0.7690488441110094]
robot_main , [CONTROLLER] 567993709039 | stability_controller | [0.7690488441110094,0.4912745838890222,-30.095122771928743]
robot_main , [MAIN_LOOP] 567993709090 | robot_frequency | [215.1589336017479,52,216.58510913912116]
robot_main , [CONTROLLER] 567993709090 | speed_controller | [-14.400201171874997,-15.71484375,0.6712708938952842]
robot_main , [CONTROLLER] 567993709090 | stability_controller | [0.6712708938952842,0.49021093491581197,0.5683536253542036]
robot_main , [MAIN_LOOP] 567993709141 | robot_frequency | [215.24954749414496,63,216.58510913912116]
robot_main , [CONTROLLER] 567993709141 | speed_controller | [-13.992248046874996,-15.0625,0.683018637971792]
robot_main , [CONTROLLER] 567993709141 | stability_controller | [0.683018637971792,0.4056003755393336,60.67071033172238]
robot_main , [MAIN_LOOP] 567993709192 | robot_frequency | [215.39536084576784,74,216.58510913912116]
robot_main , [CONTROLLER] 567993709192 | speed_controller | [-13.585308593749998,-12.84375,0.7976769273389469]
robot_main , [CONTROLLER] 567993709192 | stability_controller | [0.7976769273389469,0.38077700299331857,21.988140304539918]
robot_main , [MAIN_LOOP] 567993709243 | robot_frequency | [215.584174176523,85,216.58510913912116]
robot_main , [CONTROLLER] 567993709243 | speed_controller | [-13.179248046875,-12.26171875,0.8118468302256825]
robot_main , [CONTROLLER] 567993709243 | stability_controller | [0.8118468302256825,0.4388602446222759,-6.845099450885377]
robot_main , [MAIN_LOOP] 567993709293 | robot_frequency | [215.7286853506317,96,216.58510913912116]
robot_main , [CONTROLLER] 567993709293 | speed_controller | [-12.7725263671875,-13.24609375,0.7238834415098201]
robot_main , [CONTROLLER] 567993709293 | stability_controller | [0.7238834415098201,0.4568408325455161,-6.356180271472518]
robot_main , [MAIN_LOOP] 567993709344 | robot_frequency | [217.1351756897243,6,215.7113638320972]
robot_main , [CONTROLLER] 567993709344 | speed_controller | [-12.366271484375002,-13.03125,0.7099311088480931]
robot_main , [CONTROLLER] 567993709344 | stability_controller | [0.7099311088480931,0.43505991854339715,4.184694486933284]
robot_main , [MAIN_LOOP] 567993709395 | robot_frequency | [216.65147146060445,17,215.7113638320972]
robot_main , [CONTROLLER] 567993709395 | speed_controller | [-11.959859374999999,-12.49609375,0.7164819712959616]
robot_main , [CONTROLLER] 567993709395 | stability_controller | [0.7164819712959616,0.41909838685668893,2.5942203861487725]
robot_main , [MAIN_LOOP] 567993709446 | robot_frequency | [216.6323467574186,28,215.7113638320972]
robot_main , [CONTROLLER] 567993709446 | speed_controller | [-11.554119140624996,-11.2734375,0.7678962795841585]
robot_main , [CONTROLLER] 567993709446 | stability_controller | [0.7678962795841585,0.38212982601542195,18.602273200967765]
robot_main , [MAIN_LOOP] 567993709497 | robot_frequency | [216.55755520144885,39,215.7113638320972]
robot_main , [CONTROLLER] 567993709497 | speed_controller | [-11.146936523437494,-8.53515625,0.9198561282555855]
robot_main , [CONTROLLER] 567993709497 | stability_controller | [0.9198561282555855,0.36338546286661927,32.520669634287174]
robot_main , [MAIN_LOOP] 567993709548 | robot_frequency | [216.20459252034482,50,215.7113638320972]
robot_main , [CONTROLLER] 567993709548 | speed_controller | [-10.737845703124997,-7.98828125,0.9368202093679329]
robot_main , [CONTROLLER] 567993709548 | stability_controller | [0.9368202093679329,0.46049758218622644,-52.018273208517854]
robot_main , [MAIN_LOOP] 567993709599 | robot_frequency | [216.25250334809843,61,215.7113638320972]
robot_main , [CONTROLLER] 567993709599 | speed_controller | [-10.3303916015625,-10.12890625,0.7788187235167014]
robot_main , [CONTROLLER] 567993709599 | stability_controller | [0.7788187235167014,0.5030788383460526,-5.069427808402014]
robot_main , [MAIN_LOOP] 567993709650 | robot_frequency | [216.17589134425168,72,215.7113638320972]
robot_main , [CONTROLLER] 567993709650 | speed_controller | [-9.9223076171875,-11.11328125,0.6883120948946652]
robot_main , [CONTROLLER] 567993709650 | stability_controller | [0.6883120948946652,0.4625459954942315,25.58964845304817]
robot_main , [MAIN_LOOP] 567993709700 | robot_frequency | [216.22068053824154,83,215.7113638320972]
robot_main , [CONTROLLER] 567993709700 | speed_controller | [-9.516803710937499,-9.2890625,0.7766398480881347]
robot_main , [CONTROLLER] 567993709700 | stability_controller | [0.7766398480881347,0.37583265160886964,58.117777401339964]
robot_main , [MAIN_LOOP] 567993709751 | robot_frequency | [216.30681310303976,94,215.7113638320972]
robot_main , [CONTROLLER] 567993709751 | speed_controller | [-9.1112021484375,-6.36328125,0.9414085840043025]
robot_main , [CONTROLLER] 567993709751 | stability_controller | [0.9414085840043025,0.3585898742038328,18.176760506058237]
robot_main , [MAIN_LOOP] 567993709802 | robot_frequency | [215.61481576056133,4,216.32288196814793]
robot_main , [CONTROLLER] 567993709802 | speed_controller | [-8.703849609375,-5.72265625,0.96470310039559]
robot_main , [CONTROLLER] 567993709802 | stability_controller | [0.96470310039559,0.4332550752544489,-5.0186904511574575]
robot_main , [MAIN_LOOP] 567993709853 | robot_frequency | [214.7938128008839,15,216.32288196814793]
robot_main , [CONTROLLER] 567993709853 | speed_controller | [-8.2930966796875,-6.7421875,0.8796715969332727]
robot_main , [CONTROLLER] 567993709853 | stability_controller | [0.8796715969332727,0.48021748235063877,-18.5911789544585]
robot_main , [MAIN_LOOP] 567993709904 | robot_frequency | [215.46816029010276,26,216.32288196814793]
robot_main , [CONTROLLER] 567993709904 | speed_controller | [-7.886523437499999,-6.6953125,0.8600830357871861]
robot_main , [CONTROLLER] 567993709904 | stability_controller | [0.8600830357871861,0.4529614893557253,13.539062185276585]
robot_main , [MAIN_LOOP] 567993709955 | robot_frequency | [215.94570010488437,37,216.32288196814793]
robot_main , [CONTROLLER] 567993709955 | speed_controller | [-7.480903320312499,-5.015625,0.9460409926342117]
robot_main , [CONTROLLER] 567993709955 | stability_controller | [0.9460409926342117,0.42257924454670254,17.809918876172972]
robot_main , [MAIN_LOOP] 567993710007 | robot_frequency | [215.19581996854552,48,216.32288196814793]
robot_main , [CONTROLLER] 567993710007 | speed_controller | [-7.0665263671875005,-3.205078125,1.0402019633789061]
robot_main , [CONTROLLER] 567993710007 | stability_controller | [1.0402019633789061,0.43864429304884056,23.630229080800795]
robot_main , [MAIN_LOOP] 567993710058 | robot_frequency | [215.19349947113827,59,216.32288196814793]
robot_main , [CONTROLLER] 567993710058 | speed_controller | [-6.657431640625002,-2.87109375,1.0354324560546875]
robot_main , [CONTROLLER] 567993710058 | stability_controller | [1.0354324560546875,0.47757758789879956,-9.920008156273171]
robot_main , [MAIN_LOOP] 567993710109 | robot_frequency | [215.45324758341354,70,216.32288196814793]
robot_main , [CONTROLLER] 567993710109 | speed_controller | [-6.251374023437502,-3.49609375,0.9699602973632813]
robot_main , [CONTROLLER] 567993710109 | stability_controller | [0.9699602973632813,0.5226607659614275,-0.04083276756031218]
robot_main , [MAIN_LOOP] 567993710159 | robot_frequency | [215.53716316182164,81,216.32288196814793]
robot_main , [CONTROLLER] 567993710159 | speed_controller | [-5.844309570312501,-3.16015625,0.9654437358398438]
robot_main , [CONTROLLER] 567993710159 | stability_controller | [0.9654437358398438,0.49668568279044173,18.961969118097468]
robot_main , [MAIN_LOOP] 567993710211 | robot_frequency | [215.42579481745864,92,216.32288196814793]
robot_main , [CONTROLLER] 567993710211 | speed_controller | [-5.433807617187501,-2.361328125,0.9901024477539062]
robot_main , [CONTROLLER] 567993710211 | stability_controller | [0.9901024477539062,0.4835854075372996,24.662883197027526]
robot_main , [MAIN_LOOP] 567993710261 | robot_frequency | [217.1389245685881,2,215.54985467084094]
robot_main , [CONTROLLER] 567993710261 | speed_controller | [-5.028339843750002,-1.28955078125,1.03241310546875]
robot_main , [CONTROLLER] 567993710261 | stability_controller | [1.03241310546875,0.46387186794838536,27.13388260910144]
robot_main , [MAIN_LOOP] 567993710312 | robot_frequency | [217.28061860303526,13,215.54985467084094]
robot_main , [CONTROLLER] 567993710312 | speed_controller | [-4.623336914062503,-0.03249359130859375,1.0865185509948732]
robot_main , [CONTROLLER] 567993710312 | stability_controller | [1.0865185509948732,0.4785568005288834,7.650720913204971]
robot_main , [MAIN_LOOP] 567993710363 | robot_frequency | [216.44010119146665,24,215.54985467084094]
robot_main , [CONTROLLER] 567993710363 | speed_controller | [-4.214781250000003,0.1953125,1.0750409531250003]
robot_main , [CONTROLLER] 567993710363 | stability_controller | [1.0750409531250003,0.5109100708712786,7.843263500572528]
robot_main , [MAIN_LOOP] 567993710414 | robot_frequency | [216.68499059580077,35,215.54985467084094]
robot_main , [CONTROLLER] 567993710414 | speed_controller | [-3.809712890625004,0.5849609375,1.0740617880859378]
robot_main , [CONTROLLER] 567993710414 | stability_controller | [1.0740617880859378,0.5169672700801148,0.7342676731509918]
robot_main , [MAIN_LOOP] 567993710465 | robot_frequency | [216.5754137460201,46,215.54985467084094]
robot_main , [CONTROLLER] 567993710465 | speed_controller | [-3.402694335937503,0.8076171875,1.0623547817382812]
robot_main , [CONTROLLER] 567993710465 | stability_controller | [1.0623547817382812,0.5397470896874615,1.6936042785247452]
robot_main , [MAIN_LOOP] 567993710515 | robot_frequency | [216.55942456202683,57,215.54985467084094]
robot_main , [CONTROLLER] 567993710515 | speed_controller | [-2.996160156250003,1.18212890625,1.06032135546875]
robot_main , [CONTROLLER] 567993710515 | stability_controller | [1.06032135546875,0.5098990024927675,37.25146781668402]
robot_main , [MAIN_LOOP] 567993710566 | robot_frequency | [216.64181387904233,68,215.54985467084094]
robot_main , [CONTROLLER] 567993710566 | speed_controller | [-2.5901738281250037,3.0712890625,1.1545028935546877]
robot_main , [CONTROLLER] 567993710566 | stability_controller | [1.1545028935546877,0.493678685253958,35.60491775901504]
robot_main , [MAIN_LOOP] 567993710619 | robot_frequency | [215.5514803284104,79,215.54985467084094]
robot_main , [CONTROLLER] 567993710619 | speed_controller | [-2.1644609375000035,4.6171875,1.2256346757812502]
robot_main , [CONTROLLER] 567993710619 | stability_controller | [1.2256346757812502,0.5587658569067442,-3.1729846824165087]
robot_main , [MAIN_LOOP] 567993710670 | robot_frequency | [215.63080951581748,90,215.54985467084094]
robot_main , [CONTROLLER] 567993710670 | speed_controller | [-1.7577929687500038,4.15625,1.1705417285156252]
robot_main , [CONTROLLER] 567993710670 | stability_controller | [1.1705417285156252,0.6223204688950261,-7.321606184629141]
robot_main , [MAIN_LOOP] 567993710721 | robot_frequency | [0,0,215.76281385292276]
robot_main , [CONTROLLER] 567993710721 | speed_controller | [-1.3520605468750038,2.7314453125,1.0543026220703127]
robot_main , [CONTROLLER] 567993710721 | stability_controller | [1.0543026220703127,0.6452236554033937,-12.809702096839782]
robot_main , [MAIN_LOOP] 567993710772 | robot_frequency | [216.51912444877772,11,215.76281385292276]
robot_main , [CONTROLLER] 567993710772 | speed_controller | [-0.9457128906250035,3.109375,1.0524980810546878]
robot_main , [CONTROLLER] 567993710772 | stability_controller | [1.0524980810546878,0.5969364525592272,37.33521390468332]
robot_main , [MAIN_LOOP] 567993710823 | robot_frequency | [216.4178240127887,22,215.76281385292276]
robot_main , [CONTROLLER] 567993710823 | speed_controller | [-0.5388525390625035,5.01171875,1.1474612768554688]
robot_main , [CONTROLLER] 567993710823 | stability_controller | [1.1474612768554688,0.5625643130800768,19.134012319512422]
robot_main , [MAIN_LOOP] 567993710874 | robot_frequency | [216.1299946470135,33,215.76281385292276]
robot_main , [CONTROLLER] 567993710874 | speed_controller | [-0.12975195312500346,6.5,1.2159892490234376]
robot_main , [CONTROLLER] 567993710874 | stability_controller | [1.2159892490234376,0.5915597058630782,-5.42094097871499]
robot_main , [MAIN_LOOP] 567993710924 | robot_frequency | [216.24697115258766,44,215.76281385292276]
robot_main , [CONTROLLER] 567993710924 | speed_controller | [0.0,6.1796875,1.18741015625]
robot_main , [CONTROLLER] 567993710924 | stability_controller | [1.18741015625,0.644544496373869,-7.695183355784165]
robot_main , [MAIN_LOOP] 567993710975 | robot_frequency | [216.23186891616524,55,215.76281385292276]
robot_main , [CONTROLLER] 567993710975 | speed_controller | [0.0,6.65234375,1.2174238281249998]
